COD_TABELAPRECO;COD_PRODUTO;VALOR;QTD_MINIMA;VALOR1;QTD_MINIMA1;VALOR2;QTD_MINIMA2;VALOR3;QTD_MINIMA3;DESCONTO_MAXIMO;ACRESCIMO_MAXIMO
1;1200;200;1;0;0;0;0;0;0;0;0
1;1201;299,6;1;0;0;0;0;0;0;0;0
1;1202;299;1;0;0;0;0;0;0;0;0
1;1770;5,7;1;0;0;0;0;0;0;0;0
1;1786;5,95;1;0;0;0;0;0;0;0;0
1;1789;6,99;1;0;0;0;0;0;0;0;0
1;1814;5,99;1;0;0;0;0;0;0;0;0
1;1816;6,49;1;0;0;0;0;0;0;0;0
1;5040;6,2;1;0;0;0;0;0;0;0;0
1;5070;5,8;1;0;0;0;0;0;0;0;0
1;5080;5,99;1;0;0;0;0;0;0;0;0
1;5090;6,1;1;0;0;0;0;0;0;0;0
1;6010;6,1;1;0;0;0;0;0;0;0;0
1;7001;6;1;0;0;0;0;0;0;0;0
1;7002;5,5;1;0;0;0;0;0;0;0;0
1;7003;4;1;0;0;0;0;0;0;0;0
1;7004;4,4;1;0;0;0;0;0;0;0;0
1;7005;5,8;1;0;0;0;0;0;0;0;0
1;7006;4,4;1;0;0;0;0;0;0;0;0
1;7007;4,6;1;0;0;0;0;0;0;0;0
1;7008;4,9;1;0;0;0;0;0;0;0;0
1;7009;5;1;0;0;0;0;0;0;0;0
1;7010;5;1;0;0;0;0;0;0;0;0
1;7011;4,4;1;0;0;0;0;0;0;0;0
1;7012;6;1;0;0;0;0;0;0;0;0
1;7013;1;1;0;0;0;0;0;0;0;0
1;7014;3,3;1;0;0;0;0;0;0;0;0
1;7015;3,3;1;0;0;0;0;0;0;0;0
1;7016;3,6;1;0;0;0;0;0;0;0;0
1;7017;3,3;1;0;0;0;0;0;0;0;0
1;7018;3;1;0;0;0;0;0;0;0;0
1;7019;3;1;0;0;0;0;0;0;0;0
1;7020;3;1;0;0;0;0;0;0;0;0
1;7021;3;1;0;0;0;0;0;0;0;0
1;7022;3;1;0;0;0;0;0;0;0;0
1;7023;3;1;0;0;0;0;0;0;0;0
1;7024;4,99;1;0;0;0;0;0;0;0;0
1;7025;3,8;1;0;0;0;0;0;0;0;0
1;7026;4,96;1;0;0;0;0;0;0;0;0
1;7027;4,95;1;0;0;0;0;0;0;0;0
1;7029;4,96;1;0;0;0;0;0;0;0;0
1;7030;4,98;1;0;0;0;0;0;0;0;0
1;7031;3,86;1;0;0;0;0;0;0;0;0
1;7032;3,85;1;0;0;0;0;0;0;0;0
1;7033;3,92;1;0;0;0;0;0;0;0;0
1;7034;3,88;1;0;0;0;0;0;0;0;0
1;7035;3,85;1;0;0;0;0;0;0;0;0
1;7036;3,9;1;0;0;0;0;0;0;0;0
1;7038;3,97;1;0;0;0;0;0;0;0;0
1;7039;3,89;1;0;0;0;0;0;0;0;0
1;7040;3,92;1;0;0;0;0;0;0;0;0
1;7041;4,97;1;0;0;0;0;0;0;0;0
1;7042;3,84;1;0;0;0;0;0;0;0;0
1;7043;3,88;1;0;0;0;0;0;0;0;0
1;7044;3,95;1;0;0;0;0;0;0;0;0
1;7046;3,87;1;0;0;0;0;0;0;0;0
1;7047;3,86;1;0;0;0;0;0;0;0;0
1;7048;3,98;1;0;0;0;0;0;0;0;0
1;7049;3,99;1;0;0;0;0;0;0;0;0
1;7050;3,89;1;0;0;0;0;0;0;0;0
